# key, cn, en,
app.analysis.channel.stores,门店,Stores
app.analysis.sales,销售额,Sales
app.analysis.traffic,客流量,Traffic
app.analysis.table.rank,排名,Rank
app.analysis.table.search-keyword,搜索关键词,Keyword
app.analysis.table.users,用户数,Users
app.analysis.table.weekly-range,周涨幅,Weekly Range
app.monitor.trading-activity,活动实时交易情况,Real-Time Trading Activity
app.monitor.total-transactions,今日交易总额,Total transactions today
app.monitor.sales-target,销售目标完成率,Sales target completion rate
app.monitor.remaining-time,活动剩余时间,Remaining time of activity
app.monitor.total-transactions-per-second,每秒交易总额,Total transactions per second
app.monitor.activity-forecast,活动情况预测,Activity forecast
app.monitor.efficiency,券核效率,Efficiency
app.monitor.ratio,跳出率,Ratio
app.monitor.proportion-per-category,各品类占比,Proportion Per Category
app.monitor.fast-food,中式快餐,Fast food
app.monitor.western-food,西餐,Western food
app.monitor.hot-pot,火锅,Hot pot
app.monitor.waiting-for-implementation,等待后期实现,Waiting for implementation
app.monitor.popular-searches,热门搜索,Popular Searches
app.monitor.resource-surplus,资源剩余,Resource Surplus
app.monitor.fund-surplus,补贴资金剩余,Fund Surplus
app.lock,锁屏,Lock
app.login.message-invalid-credentials,账户或密码错误（admin/ant.design）,Invalid username or password（admin/ant.design）
app.login.message-invalid-verification-code,验证码错误,Invalid verification code
app.login.tab-login-credentials,登录,Login
app.login.tab-login-mobile,手机号登录,Mobile No.
app.login.remember-me,自动登录,Remember me
app.login.forgot-password,忘记密码,Forgot password?
app.login.sign-in-with,其他登录方式,Sign in with
app.login.signup,注册账户,Sign up
app.login.login,登录,Login
app.register.register,注册,Register
app.register.get-verification-code,获取验证码,Get code
app.register.sign-in,使用已有账户登录,Already have an account?
app.register-result.msg,你的账户：{{email}} 注册成功,Account：registered at {{email}}
app.register-result.activation-email,激活邮件已发送到你的邮箱中，邮件有效期为24小时。请及时登录邮箱，点击邮件中的链接激活帐户。,The activation email has been sent to your email address and is valid for 24 hours. Please log in to the email in time and click on the link in the email to activate the account.
app.register-result.back-home,返回首页,Back to home
app.register-result.view-mailbox,查看邮箱,View mailbox
validation.email.required,请输入邮箱地址！,Please enter your email!
validation.email.wrong-format,邮箱地址格式错误！,The email address is in the wrong format!
validation.password.required,请输入密码！,Please enter your password!
validation.password.twice,两次输入的密码不匹配!,The passwords entered twice do not match!
validation.password.strength.msg,请至少输入 6 个字符。请不要使用容易被猜到的密码。,Please enter at least 6 characters and don't use passwords that are easy to guess.
validation.password.strength.strong,强度：强,Strength: strong
validation.password.strength.medium,强度：中,Strength: medium
validation.password.strength.short,强度：太短,Strength: too short
validation.confirm-password.required,请确认密码！,Please confirm your password!
validation.phone-number.required,请输入手机号！,Please enter your phone No.!
validation.phone-number.wrong-format,手机号格式错误！,Malformed phone No.!
validation.verification-code.required,请输入验证码！,Please enter the verification code!
validation.title.required,请输入标题,Please enter a title
validation.date.required,请选择起止日期,Please select the start and end date
validation.goal.required,请输入目标描述,Please enter a description of the goal
validation.standard.required,请输入衡量标准,Please enter a metric
------------------------------------------------组件自带的翻译end,---------------------,---------------------
------------------------------------------------以上为币种管理start,---------------------,---------------------
curr_008,ALL-阿尔巴尼亚,ALL-ALL
curr_012,DZD-AlgerianDinar,DZD-AlgerianDinar
curr_032,ARS-阿根廷比索,ARS-ArgentinePeso
curr_036,AUD-澳元,AUD-AustraliaDollars
curr_044,BSD-巴哈马元,BSD-BahamianDollar
curr_048,BHD-巴林币,BHD-BahrainiDinar
curr_050,BDT-孟加拉塔卡,BDT-BDT
curr_051,AMD-亚美尼亚,AMD-AMD
curr_052,BBD-巴巴多斯元,BBD-BBD
curr_060,BMD-百慕大,BMD-BermudianDollar
curr_064,BTN-Ngultrum,BTN-Ngultrum
curr_068,BOB-玻利维亚,BOB-BOB
curr_072,BWP-Pula,BWP-Pula
curr_084,BZD-伯利兹,BZD-BZD
curr_090,SBD-SolomonIslandsDol,SBD-SolomonIslandsDollar
curr_096,BND-文莱元,BND-BruneiDollar
curr_104,MMK-Kyat,MMK-Kyat
curr_108,BIF-BurundiFranc,BIF-BurundiFranc
curr_116,KHR-Riel,KHR-Riel
curr_124,CAD-加拿大元,CAD-CND
curr_132,CVE-CapeVerdeEscudo,CVE-CapeVerdeEscudo
curr_136,KYD-开曼群岛,KYD-KYD
curr_144,LKR-斯里兰卡,LKR-SriLankaRupee
curr_152,CLP-智利,CLP-ChileanPeso
curr_156,CNY-人民币元,CNY-CNY
curr_170,COP-哥伦比亚,COP-ColombianPeso
curr_174,KMF-ComoroFranc,KMF-ComoroFranc
curr_188,CRC-哥斯达黎加,CRC-CRC
curr_191,HRK-克罗地亚币,HRK-HRK
curr_192,CUP-CubanPeso,CUP-CubanPeso
curr_203,CZK-捷克,CZK-Koruna
curr_208,DKK-丹麦克朗,DKK-DanishKrone
curr_214,DOP-多米尼加比索,DOP-DOP
curr_222,SVC-萨尔瓦多,SVC-SVC
curr_230,ETB-EthiopianBirr,ETB-EthiopianBirr
curr_232,ERN-Nafka,ERN-Nafka
curr_233,EEK-爱沙尼亚,EEK-Kroon
curr_238,FKP-FalklandIslandsPo,FKP-FalklandIslandsPound
curr_242,FJD-FijiDollar,FJD-FijiDollar
curr_262,DJF-DjiboutiFranc,DJF-DjiboutiFranc
curr_270,GMD-Dalasi,GMD-Dalasi
curr_288,GHC-加纳塞地,GHC-GHANACEDI
curr_292,GIP-GibraltarPound,GIP-GibraltarPound
curr_318,FIM-芬兰马克,FIM-markka
curr_320,GTQ-危地马拉,GTQ-GTQ
curr_324,GNF-GuineaFranc,GNF-GuineaFranc
curr_326,NOK-挪威克朗,NOK-Norwegiankrone
curr_328,GYD-GuyanaDollar,GYD-GuyanaDollar
curr_330,SEK-瑞典克朗,SEK-Swedishkrona
curr_332,HTG-Gourde,HTG-Gourde
curr_340,HNL-洪图拉斯元,HNL-HNL
curr_344,HKD-港元,HKD-HKD
curr_348,HUF-匈牙利,HUF-Forint
curr_352,ISK-冰岛克朗,ISK-IcelandKrona
curr_356,INR-印度卢比,INR-IndianRupee
curr_360,IDR-印尼卢比,IDR-Rupiah
curr_364,IRR-伊朗里亚尔,IRR-IranianRial
curr_368,IQD-伊拉克第纳尔,IQD-IraqiDinar
curr_376,ILS-新谢克尔,ILS-Sheqel
curr_388,JMD-牙买加,JMD-JamaicanDollar
curr_392,JPY-日元,JPY-Yen
curr_398,KZT-哈萨克坚戈,KZT-Tenge
curr_400,JOD-约旦第纳尔,JOD-JOD
curr_404,KES-肯尼亚,KES-KenyanShilling
curr_408,KPW-NorthKoreanWon,KPW-NorthKoreanWon
curr_410,KRW-韩圆,KRW-KOREA
curr_414,KWD-科威特第纳尔,KWD-Kuwait
curr_417,KGS-SOM,KGS-SOM
curr_418,LAK-Kip,LAK-Kip
curr_422,LBP-黎巴嫩镑,LBP-LebanesePound
curr_426,LSL-Loti,LSL-Loti
curr_428,LVL-拉脱维亚币,LVL-LVL
curr_430,LRD-利比里亚,LRD-LRD
curr_434,LYD-LibyanDinar,LYD-LibyanDinar
curr_440,LTL-立陶宛币,LTL-LTL
curr_446,MOP-澳门元,MOP-MOP
curr_454,MWK-马拉维,MWK-MWK
curr_458,MYR-马来西亚林吉特,MYR-MalaysianRinggit
curr_462,MVR-马尔代夫,MVR-Rufiyaa
curr_478,MRO-Ouguiya,MRO-Ouguiya
curr_480,MUR-毛里求斯,MUR-MauritiusRupee
curr_484,MXN-墨西哥元,MXN-MSD
curr_496,MNT-蒙古图格里克,MNT-MNT
curr_498,MDL-MoldovanLeu,MDL-MoldovanLeu
curr_504,MAD-摩洛哥,MAD-MAD
curr_512,OMR-阿曼里亚尔,OMR-RialOmani
curr_516,NAD-Dollar,NAD-Dollar
curr_524,NPR-NepaleseRupee,NPR-NepaleseRupee
curr_532,ANG-荷属安的列斯,ANG-NetherlandsAntillianG
curr_533,AWG-阿鲁巴盾,AWG-AWG
curr_548,VUV-Vatu,VUV-Vatu
curr_554,NZD-新西兰元,NZD-NewZealandDollar
curr_558,NIO-CordobaOro,NIO-CordobaOro
curr_566,NGN-尼日利亚奈拉,NGN-NGN
curr_578,NOK-挪威克朗,NOK-NorwegianKrone
curr_586,PKR-巴基斯坦,PKR-PakistanRupee
curr_590,PAB-巴拿马,PAB-PAB
curr_598,PGK-Kina,PGK-Kina
curr_600,PYG-Guarani,PYG-Guarani
curr_604,PEN-秘鲁币,PEN-PEN
curr_608,PHP-菲律宾比索,PHP-peso
curr_634,QAR-卡塔尔里亚尔,QAR-QatariRial
curr_643,RUB-卢布,RUB-RussianRouble
curr_646,RWF-RwandaFranc,RWF-RwandaFranc
curr_654,SHP-St.HelenaPound,SHP-St.HelenaPound
curr_678,STD-Dobra,STD-Dobra
curr_682,SAR-沙特里亚尔,SAR-SaudiRiyal
curr_690,SCR-SeychellesRupee,SCR-SeychellesRupee
curr_694,SLL-Leone,SLL-Leone
curr_702,SGD-新加坡元,SGD-SGD
curr_703,SKK-斯洛伐克,SKK-SKK
curr_704,VND-越南盾,VND-dong
curr_706,SOS-SomaliShilling,SOS-SomaliShilling
curr_710,ZAR-南非兰特,ZAR-Rand
curr_728,SSP-South？Sudanese？Po,SSP-South？Sudanese？Pound
curr_736,SDN-苏丹第纳尔,SDN-SDN
curr_748,SZL-Lilangeni,SZL-Lilangeni
curr_752,SEK-瑞典克朗,SEK-SwedishKrona
curr_756,CHF-瑞士法郎,CHF-SwissFranc
curr_760,SYP-SyrianPound,SYP-SyrianPound
curr_764,THB-泰铢,THB-THB
curr_776,TOP-Pa’anga,TOP-Pa’anga
curr_780,TTD-特立尼达和多巴哥元,TTD-TTD
curr_784,AED-UAE迪拉姆,AED-UAEDirham
curr_788,TND-TunisianDinar,TND-TunisianDinar
curr_800,UGX-UgandaShilling,UGX-UgandaShilling
curr_807,MKD-Denar,MKD-Denar
curr_818,EGP-埃及镑,EGP-EgytianPound
curr_826,GBP-英镑,GBP-PoundSterling
curr_834,TZS-TanzanianShilling,TZS-TanzanianShilling
curr_840,USD-美元,USD-USD
curr_858,UYU-乌拉圭,UYU-PesoUruguayo
curr_860,UZS-UzbekistanSum,UZS-UzbekistanSum
curr_862,VEB-委内瑞拉,VEB-Bolivar
curr_882,WST-Tala,WST-Tala
curr_886,YER-也门,YER-YER
curr_891,CSD-SerbianDinar,CSD-SerbianDinar
curr_901,TWD-新台币,TWD-NewTaiwanDollar
curr_931,CUC-PesoConvertible,CUC-PesoConvertible
curr_932,ZWL-ZimbabweDollar,ZWL-ZimbabweDollar
curr_934,TMT-NewManat,TMT-NewManat
curr_936,GHS-新赛地,GHS-GHS
curr_937,VEF-委内瑞拉,VEF-VEF
curr_938,SDG-SudanesePound,SDG-SudanesePound
curr_941,RSD-SerbianDinar,RSD-SerbianDinar
curr_943,MZN-Metical,MZN-Metical
curr_944,AZN-AzerbaijanianManat,AZN-AzerbaijanianManat
curr_946,RON-RON,RON-RON
curr_949,TRY-土耳其元,TRY-turkey
curr_950,XAF-CFAFrancBEAC,XAF-CFAFrancBEAC
curr_951,XCD-东加勒比元,XCD-XCD
curr_952,XOF-CFAFrancBCEAO,XOF-CFAFrancBCEAO
curr_953,XPF-CFP法郎,XPF-CFPFranc
curr_967,ZMW-Kwacha,ZMW-Kwacha
curr_968,SRD-SurinamDollar,SRD-SurinamDollar
curr_969,MGA-MalagasyAriary,MGA-MalagasyAriary
curr_970,COU-UnidaddeValorRea,COU-UnidaddeValorReal
curr_971,AFN-阿富汗尼,AFN-AFN
curr_972,TJS-Somoni,TJS-Somoni
curr_973,AOA-AngolaKwanza,AOA-AngolaKwanza
curr_974,BYR-BelarussianRuble,BYR-BelarussianRuble
curr_975,BGN-保加利亚,BGN-NewBulgarianLev
curr_976,CDF-CongoleseFranc,CDF-CongoleseFranc
curr_977,BAM-ConvertibleMark,BAM-ConvertibleMark
curr_978,EUR-欧元,EUR-EURO
curr_980,UAH-乌克兰元,UAH-UkraineHryvnia
curr_981,GEL-Lari,GEL-Lari
curr_984,BOV-Mvdol,BOV-Mvdol
curr_985,PLN-波兰,PLN-Poland
curr_986,BRL-巴西,BRL-BrazilianReal
curr_990,CLF-Unidadesdefomento,CLF-Unidadesdefomento
------------------------------------------------以上为币种管理end,---------------------,---------------------
------------------------------------------------以下为countryCode start,---------------------,---------------------
coun_020,AND-安道尔,AND-Andorra
coun_784,ARE-阿联酋,ARE-UnitedArabEmirates
coun_004,AFG-阿富汗,AFG-Afghanistan
coun_028,ATG-安提瓜和巴布达,ATG-Antigua&Barbuda
coun_660,AIA-安圭拉,AIA-Anguilla
coun_008,ALB-阿尔巴尼亚,ALB-Albania
coun_051,ARM-亚美尼亚,ARM-Armenia
coun_024,AGO-安哥拉,AGO-Angola
coun_010,ATA-南极洲,ATA-Antarctica
coun_032,ARG-阿根廷,ARG-Argentina
coun_016,ASM-美属萨摩亚,ASM-AmericanSamoa
coun_040,AUT-奥地利,AUT-Austria
coun_036,AUS-澳大利亚,AUS-Australia
coun_533,ABW-阿鲁巴,ABW-Aruba
coun_248,"ALA-奥兰群岛","ALA-AlandIsland,Ahvenanmaa"
coun_031,AZE-阿塞拜疆,AZE-Azerbaijan
coun_070,BIH-波黑,BIH-Bosnia&Herzegovina
coun_052,BRB-巴巴多斯,BRB-Barbados
coun_050,BGD-孟加拉,BGD-Bangladesh
coun_056,BEL-比利时,BEL-Belgium
coun_854,BFA-布基纳法索,BFA-Burkina
coun_100,BGR-保加利亚,BGR-Bulgaria
coun_048,BHR-巴林,BHR-Bahrain
coun_108,BDI-布隆迪,BDI-Burundi
coun_204,BEN-贝宁,BEN-Benin
coun_652,BLM-圣巴泰勒米岛,BLM-St.Barthelemy
coun_060,BMU-百慕大,BMU-Bermuda
coun_096,BRN-文莱,BRN-Brunei
coun_068,BOL-玻利维亚,BOL-Bolivia
coun_535,BES-荷兰加勒比区,BES-CaribbeanNetherlands
coun_076,BRA-巴西,BRA-Brazil
coun_044,BHS-巴哈马,BHS-TheBahamas
coun_064,BTN-不丹,BTN-Bhutan
coun_074,BVT-布韦岛,BVT-BouvetIsland
coun_072,BWA-博茨瓦纳,BWA-Botswana
coun_112,BLR-白俄罗斯,BLR-Belarus
coun_084,BLZ-伯利兹,BLZ-Belize
coun_124,CAN-加拿大,CAN-Canada
coun_166,CCK-科科斯群岛,CCK-Cocos(Keeling)Islands
coun_180,COD-刚果（金）,COD-DemocraticRepublicoftheCongo
coun_140,CAF-中非,CAF-CentralAfricanRepublic
coun_178,COG-刚果（布）,COG-RepublicoftheCongo
coun_756,CHE-瑞士,CHE-Switzerland
coun_384,CIV-科特迪瓦,CIV-IvoryCoast
coun_184,COK-库克群岛,COK-CookIslands
coun_152,CHL-智利,CHL-Chile
coun_120,CMR-喀麦隆,CMR-Cameroon
coun_156,CHN-中国,CHN-China
coun_170,COL-哥伦比亚,COL-Colombia
coun_188,CRI-哥斯达黎加,CRI-CostaRica
coun_192,CUB-古巴,CUB-Cuba
coun_132,CPV-佛得角,CPV-CapeVerde
coun_162,CXR-圣诞岛,CXR-ChristmasIsland
coun_196,CYP-塞浦路斯,CYP-Cyprus
coun_203,CZE-捷克,CZE-CzechRepublic
coun_276,DEU-德国,DEU-Germany
coun_262,DJI-吉布提,DJI-Djibouti
coun_208,DNK-丹麦,DNK-Denmark
coun_212,DMA-多米尼克,DMA-Dominica
coun_214,DOM-多米尼加,DOM-DominicanRepublic
coun_012,DZA-阿尔及利亚,DZA-Algeria
coun_218,ECU-厄瓜多尔,ECU-Ecuado
coun_233,EST-爱沙尼亚,EST-Estonia
coun_818,EGY-埃及,EGY-Egypt
coun_732,ESH-西撒哈拉,ESH-WesternSahara
coun_232,ERI-厄立特里亚,ERI-Eritrea
coun_724,ESP-西班牙,ESP-Spain
coun_231,ETH-埃塞俄比亚,ETH-Ethiopia
coun_246,FIN-芬兰,FIN-Finland
coun_242,FJI-斐济群岛,FJI-Fiji
coun_238,FLK-马尔维纳斯群岛（福克兰,FLK-FalklandIslands
coun_583,FSM-密克罗尼西亚联邦,FSM-FederatedStatesofMicronesia
coun_234,FRO-法罗群岛,FRO-FaroeIslands
coun_250,FRA-法国,FRA-France
coun_266,GAB-加蓬,GAB-Gabon
coun_826,GBR-英国,GBR-GreatBritain(UnitedKingdom;England)
coun_308,GRD-格林纳达,GRD-Grenada
coun_268,GEO-格鲁吉亚,GEO-Georgia
coun_254,GUF-法属圭亚那,GUF-FrenchGuiana
coun_831,GGY-根西岛,GGY-Guernsey
coun_288,GHA-加纳,GHA-Ghana
coun_292,GIB-直布罗陀,GIB-Gibraltar
coun_304,GRL-格陵兰,GRL-Greenland
coun_270,GMB-冈比亚,GMB-Gambia
coun_324,GIN-几内亚,GIN-Guinea
coun_312,GLP-瓜德罗普,GLP-Guadeloupe
coun_226,GNQ-赤道几内亚,GNQ-EquatorialGuinea
coun_300,GRC-希腊,GRC-Greece
coun_239,SGS-南乔治亚岛和南桑威奇群,SGS-SouthGeorgiaandtheSouthSandwichIslands
coun_320,GTM-危地马拉,GTM-Guatemala
coun_316,GUM-关岛,GUM-Guam
coun_624,GNB-几内亚比绍,GNB-Guinea-Bissau
coun_328,GUY-圭亚那,GUY-Guyana
coun_344,HKG-香港,HKG-HongKong
coun_334,HMD-赫德岛和麦克唐纳群岛,HMD-HeardIslandandMcDonaldIslands
coun_340,HND-洪都拉斯,HND-Honduras
coun_191,HRV-克罗地亚,HRV-Croatia
coun_332,HTI-海地,HTI-Haiti
coun_348,HUN-匈牙利,HUN-Hungary
coun_360,IDN-印尼,IDN-Indonesia
coun_372,IRL-爱尔兰,IRL-Ireland
coun_376,ISR-以色列,ISR-Israel
coun_833,IMN-马恩岛,IMN-IsleofMan
coun_356,IND-印度,IND-India
coun_086,IOT-英属印度洋领地,IOT-BritishIndianOceanTerritory
coun_368,IRQ-伊拉克,IRQ-Iraq
coun_364,IRN-伊朗,IRN-Iran
coun_352,ISL-冰岛,ISL-Iceland
coun_380,ITA-意大利,ITA-Italy
coun_832,JEY-泽西岛,JEY-Jersey
coun_388,JAM-牙买加,JAM-Jamaica
coun_400,JOR-约旦,JOR-Jordan
coun_392,JPN-日本,JPN-Japan
coun_404,KEN-肯尼亚,KEN-Kenya
coun_417,KGZ-吉尔吉斯斯坦,KGZ-Kyrgyzstan
coun_116,KHM-柬埔寨,KHM-Cambodia
coun_296,KIR-基里巴斯,KIR-Kiribati
coun_174,COM-科摩罗,COM-TheComoros
coun_659,KNA-圣基茨和尼维斯,KNA-St.Kitts&Nevis
coun_408,PRK-朝鲜,PRK-NorthKorea
coun_410,KOR-韩国,KOR-SouthKorea
coun_414,KWT-科威特,KWT-Kuwait
coun_136,CYM-开曼群岛,CYM-CaymanIslands
coun_398,KAZ-哈萨克斯坦,KAZ-Kazakhstan
coun_418,LAO-老挝,LAO-Laos
coun_422,LBN-黎巴嫩,LBN-Lebanon
coun_662,LCA-圣卢西亚,LCA-St.Lucia
coun_438,LIE-列支敦士登,LIE-Liechtenstein
coun_144,LKA-斯里兰卡,LKA-SriLanka
coun_430,LBR-利比里亚,LBR-Liberia
coun_426,LSO-莱索托,LSO-Lesotho
coun_440,LTU-立陶宛,LTU-Lithuania
coun_442,LUX-卢森堡,LUX-Luxembourg
coun_428,LVA-拉脱维亚,LVA-Latvia
coun_434,LBY-利比亚,LBY-Libya
coun_504,MAR-摩洛哥,MAR-Morocco
coun_492,MCO-摩纳哥,MCO-Monaco
coun_498,MDA-摩尔多瓦,MDA-Moldova
coun_499,MNE-黑山,MNE-Montenegro
coun_663,MAF-法属圣马丁,MAF-SaintMartin(France)
coun_450,MDG-马达加斯加,MDG-Madagascar
coun_584,MHL-马绍尔群岛,MHL-Marshallislands
coun_807,MKD-马其顿,MKD-RepublicofMacedonia(FYROM)
coun_466,MLI-马里,MLI-Mali
coun_104,MMR-缅甸,MMR-Myanmar(Burma)
coun_496,MNG-蒙古国；蒙古,MNG-Mongolia
coun_446,MAC-澳门,MAC-Macao
coun_580,MNP-北马里亚纳群岛,MNP-NorthernMarianaIslands
coun_474,MTQ-马提尼克,MTQ-Martinique
coun_478,MRT-毛里塔尼亚,MRT-Mauritania
coun_500,MSR-蒙塞拉特岛,MSR-Montserrat
coun_470,MLT-马耳他,MLT-Malta
coun_480,MUS-毛里求斯,MUS-Mauritius
coun_462,MDV-马尔代夫,MDV-Maldives
coun_454,MWI-马拉维,MWI-Malawi
coun_484,MEX-墨西哥,MEX-Mexico
coun_458,MYS-马来西亚,MYS-Malaysia
coun_508,MOZ-莫桑比克,MOZ-Mozambique
coun_516,NAM-纳米比亚,NAM-Namibia
coun_540,NCL-新喀里多尼亚,NCL-NewCaledonia
coun_562,NER-尼日尔,NER-Niger
coun_574,NFK-诺福克岛,NFK-NorfolkIsland
coun_566,NGA-尼日利亚,NGA-Nigeria
coun_558,NIC-尼加拉瓜,NIC-Nicaragua
coun_528,NLD-荷兰,NLD-Netherlands
coun_578,NOR-挪威,NOR-Norway
coun_524,NPL-尼泊尔,NPL-Nepal
coun_520,NRU-瑙鲁,NRU-Nauru
coun_570,NIU-纽埃,NIU-Niue
coun_554,NZL-新西兰,NZL-NewZealand
coun_512,OMN-阿曼,OMN-Oman
coun_591,PAN-巴拿马,PAN-Panama
coun_604,PER-秘鲁,PER-Peru
coun_258,PYF-法属波利尼西亚,PYF-Frenchpolynesia
coun_598,PNG-巴布亚新几内亚,PNG-PapuaNewGuinea
coun_608,PHL-菲律宾,PHL-ThePhilippines
coun_586,PAK-巴基斯坦,PAK-Pakistan
coun_616,POL-波兰,POL-Poland
coun_666,SPM-圣皮埃尔和密克隆,SPM-Saint-PierreandMiquelon
coun_612,PCN-皮特凯恩群岛,PCN-PitcairnIslands
coun_630,PRI-波多黎各,PRI-PuertoRico
coun_275,PSE-巴勒斯坦,PSE-Palestinianterritories
coun_620,PRT-葡萄牙,PRT-Portugal
coun_585,PLW-帕劳,PLW-Palau
coun_600,PRY-巴拉圭,PRY-Paraguay
coun_634,QAT-卡塔尔,QAT-Qatar
coun_638,REU-留尼汪,REU-Réunion
coun_642,ROU-罗马尼亚,ROU-Romania
coun_688,SRB-塞尔维亚,SRB-Serbia
coun_643,RUS-俄罗斯,RUS-RussianFederation
coun_646,RWA-卢旺达,RWA-Rwanda
coun_682,SAU-沙特阿拉伯,SAU-SaudiArabia
coun_090,SLB-所罗门群岛,SLB-SolomonIslands
coun_690,SYC-塞舌尔,SYC-Seychelles
coun_729,SDN-苏丹,SDN-Sudan
coun_752,SWE-瑞典,SWE-Sweden
coun_702,SGP-新加坡,SGP-Singapore
coun_654,SHN-圣赫勒拿,SHN-St.Helena&Dependencies
coun_705,SVN-斯洛文尼亚,SVN-Slovenia
coun_744,SJM-斯瓦尔巴群岛和扬马延岛,SJM-Template:CountrydataSJMSvalbard
coun_703,SVK-斯洛伐克,SVK-Slovakia
coun_694,SLE-塞拉利昂,SLE-SierraLeone
coun_674,SMR-圣马力诺,SMR-SanMarino
coun_686,SEN-塞内加尔,SEN-Senegal
coun_706,SOM-索马里,SOM-Somalia
coun_740,SUR-苏里南,SUR-Suriname
coun_728,SSD-南苏丹,SSD-SouthSudan
coun_678,STP-圣多美和普林西比,STP-SaoTome&Principe
coun_222,SLV-萨尔瓦多,SLV-ElSalvador
coun_760,SYR-叙利亚,SYR-Syria
coun_748,SWZ-斯威士兰,SWZ-Swaziland
coun_796,TCA-特克斯和凯科斯群岛,TCA-Turks&CaicosIslands
coun_148,TCD-乍得,TCD-Chad
coun_260,ATF-法属南部领地,ATF-FrenchSouthernTerritories
coun_768,TGO-多哥,TGO-Togo
coun_764,THA-泰国,THA-Thailand
coun_762,TJK-塔吉克斯坦,TJK-Tajikistan
coun_772,TKL-托克劳,TKL-Tokelau
coun_626,TLS-东帝汶,TLS-Timor-Leste(EastTimor)
coun_795,TKM-土库曼斯坦,TKM-Turkmenistan
coun_788,TUN-突尼斯,TUN-Tunisia
coun_776,TON-汤加,TON-Tonga
coun_792,TUR-土耳其,TUR-Turkey
